,Dataset,Cell_type
4500,CID007827-1,Myofibroblast
4501,CID007827-1,Pericyte
4502,CID007827-1,Post-capillary venules
4503,CID007827-1,Proliferating Stromal Cell
4504,CID007827-1,Smooth Muscle Cell
4505,CID007827-1,Enterocyte
4506,CID007827-1,Enteroendocrine Cell
4507,CID007827-1,Epithelial M Cell
4508,CID007827-1,Epithelial Progenitor Cell
4509,CID007827-1,Epithelial Stem Cell
4510,CID007827-1,Goblet Cell
4511,CID007827-1,Tuft Cell
4512,CID007829-1,CD209+ moDC
4513,CID007829-1,CD83+ CLEC9A+ DC
4514,CID007829-1,CD83- CLEC9A+ DC
4515,CID007829-1,CLEC10A+ DC
4516,CID007829-1,IL7R+ Activated DC
4517,CID007829-1,Mast Cell
4518,CID007829-1,Memory B cell
4519,CID007829-1,Monocyte Inflammatory
4520,CID007829-1,Proliferating myeloid
4521,CID007829-1,Resident Macrophage
4522,CID007829-1,CD4 SELL naive
4523,CID007829-1,CD4 TRM
4524,CID007829-1,CD4 Tfh
4525,CID007829-1,CD4 Th17
4526,CID007829-1,CD4 Tph
4527,CID007829-1,CD4 Treg
4528,CID007829-1,CD8 Effector
4529,CID007829-1,CD8 IEL
4530,CID007829-1,CD8 SELL Naive
4531,CID007829-1,ILC3
4532,CID007829-1,MAIT
4533,CID007829-1,NK
4534,CID007829-1,Proliferating T cells
4535,CID007829-1,gd T cell 1
4536,CID007829-1,gd T cell 2
4537,CID007829-1,GC-like B cell
4538,CID007829-1,Memory B cell
4539,CID007829-1,Naive B cell
4540,CID007829-1,Plasma Cell
4541,CID007829-1,Plasmablast
4542,CID007829-1,Arterial Pericyte
4543,CID007829-1,Blood Endothelial Cell
4544,CID007829-1,Fibroblast
4545,CID007829-1,Glial Cell
4546,CID007829-1,Inflammatory Fibroblast
4547,CID007829-1,Myofibroblast
4548,CID007829-1,Pericyte
4549,CID007829-1,Post-capillary venules
4550,CID007829-1,Proliferating Stromal Cell
4551,CID007829-1,Smooth Muscle Cell
4552,CID007829-1,Enterocyte
4553,CID007829-1,Enteroendocrine Cell
4554,CID007829-1,Epithelial M Cell
4555,CID007829-1,Epithelial Progenitor Cell
4556,CID007829-1,Epithelial Stem Cell
4557,CID007829-1,Goblet Cell
4558,CID007829-1,Tuft Cell
4559,CID007845-1,CD209+ moDC
4560,CID007845-1,CD83+ CLEC9A+ DC
4561,CID007845-1,CD83- CLEC9A+ DC
4562,CID007845-1,CLEC10A+ DC
4563,CID007845-1,IL7R+ Activated DC
4564,CID007845-1,Mast Cell
4565,CID007845-1,Memory B cell
4566,CID007845-1,Monocyte Inflammatory
4567,CID007845-1,Proliferating myeloid
4568,CID007845-1,Resident Macrophage
4569,CID007845-1,CD4 SELL naive
4570,CID007845-1,CD4 TRM
4571,CID007845-1,CD4 Tfh
4572,CID007845-1,CD4 Th17
4573,CID007845-1,CD4 Tph
4574,CID007845-1,CD4 Treg
4575,CID007845-1,CD8 Effector
4576,CID007845-1,CD8 IEL
4577,CID007845-1,CD8 SELL Naive
4578,CID007845-1,ILC3
4579,CID007845-1,MAIT
4580,CID007845-1,NK
4581,CID007845-1,Proliferating T cells
4582,CID007845-1,gd T cell 1
4583,CID007845-1,gd T cell 2
4584,CID007845-1,GC-like B cell
4585,CID007845-1,Memory B cell
4586,CID007845-1,Naive B cell
4587,CID007845-1,Plasma Cell
4588,CID007845-1,Plasmablast
4589,CID007845-1,Arterial Pericyte
4590,CID007845-1,Blood Endothelial Cell
4591,CID007845-1,Fibroblast
4592,CID007845-1,Glial Cell
4593,CID007845-1,Inflammatory Fibroblast
4594,CID007845-1,Myofibroblast
4595,CID007845-1,Pericyte
4596,CID007845-1,Post-capillary venules
4597,CID007845-1,Proliferating Stromal Cell
4598,CID007845-1,Smooth Muscle Cell
4599,CID007845-1,Enterocyte
4600,CID007845-1,Enteroendocrine Cell
4601,CID007845-1,Epithelial M Cell
4602,CID007845-1,Epithelial Progenitor Cell
4603,CID007845-1,Epithelial Stem Cell
4604,CID007845-1,Goblet Cell
4605,CID007845-1,Tuft Cell
4606,CID007847-1,CD209+ moDC
4607,CID007847-1,CD83+ CLEC9A+ DC
4608,CID007847-1,CD83- CLEC9A+ DC
4609,CID007847-1,CLEC10A+ DC
4610,CID007847-1,IL7R+ Activated DC
4611,CID007847-1,Mast Cell
4612,CID007847-1,Memory B cell
4613,CID007847-1,Monocyte Inflammatory
4614,CID007847-1,Proliferating myeloid
4615,CID007847-1,Resident Macrophage
4616,CID007847-1,CD4 SELL naive
4617,CID007847-1,CD4 TRM
4618,CID007847-1,CD4 Tfh
4619,CID007847-1,CD4 Th17
4620,CID007847-1,CD4 Tph
4621,CID007847-1,CD4 Treg
4622,CID007847-1,CD8 Effector
4623,CID007847-1,CD8 IEL
4624,CID007847-1,CD8 SELL Naive
4625,CID007847-1,ILC3
4626,CID007847-1,MAIT
4627,CID007847-1,NK
4628,CID007847-1,Proliferating T cells
4629,CID007847-1,gd T cell 1
4630,CID007847-1,gd T cell 2
4631,CID007847-1,GC-like B cell
4632,CID007847-1,Memory B cell
4633,CID007847-1,Naive B cell
4634,CID007847-1,Plasma Cell
4635,CID007847-1,Plasmablast
4636,CID007847-1,Arterial Pericyte
4637,CID007847-1,Blood Endothelial Cell
4638,CID007847-1,Fibroblast
4639,CID007847-1,Glial Cell
4640,CID007847-1,Inflammatory Fibroblast
4641,CID007847-1,Myofibroblast
4642,CID007847-1,Pericyte
4643,CID007847-1,Post-capillary venules
4644,CID007847-1,Proliferating Stromal Cell
4645,CID007847-1,Smooth Muscle Cell
4646,CID007847-1,Enterocyte
4647,CID007847-1,Enteroendocrine Cell
4648,CID007847-1,Epithelial M Cell
4649,CID007847-1,Epithelial Progenitor Cell
4650,CID007847-1,Epithelial Stem Cell
4651,CID007847-1,Goblet Cell
4652,CID007847-1,Tuft Cell
4653,CID007849-1,CD209+ moDC
4654,CID007849-1,CD83+ CLEC9A+ DC
4655,CID007849-1,CD83- CLEC9A+ DC
4656,CID007849-1,CLEC10A+ DC
4657,CID007849-1,IL7R+ Activated DC
4658,CID007849-1,Mast Cell
4659,CID007849-1,Memory B cell
4660,CID007849-1,Monocyte Inflammatory
4661,CID007849-1,Proliferating myeloid
4662,CID007849-1,Resident Macrophage
4663,CID007849-1,CD4 SELL naive
4664,CID007849-1,CD4 TRM
4665,CID007849-1,CD4 Tfh
4666,CID007849-1,CD4 Th17
4667,CID007849-1,CD4 Tph
4668,CID007849-1,CD4 Treg
4669,CID007849-1,CD8 Effector
4670,CID007849-1,CD8 IEL
4671,CID007849-1,CD8 SELL Naive
4672,CID007849-1,ILC3
4673,CID007849-1,MAIT
4674,CID007849-1,NK
4675,CID007849-1,Proliferating T cells
4676,CID007849-1,gd T cell 1
4677,CID007849-1,gd T cell 2
4678,CID007849-1,GC-like B cell
4679,CID007849-1,Memory B cell
4680,CID007849-1,Naive B cell
4681,CID007849-1,Plasma Cell
4682,CID007849-1,Plasmablast
4683,CID007849-1,Arterial Pericyte
4684,CID007849-1,Blood Endothelial Cell
4685,CID007849-1,Fibroblast
4686,CID007849-1,Glial Cell
4687,CID007849-1,Inflammatory Fibroblast
4688,CID007849-1,Myofibroblast
4689,CID007849-1,Pericyte
4690,CID007849-1,Post-capillary venules
4691,CID007849-1,Proliferating Stromal Cell
4692,CID007849-1,Smooth Muscle Cell
4693,CID007849-1,Enterocyte
4694,CID007849-1,Enteroendocrine Cell
4695,CID007849-1,Epithelial M Cell
4696,CID007849-1,Epithelial Progenitor Cell
4697,CID007849-1,Epithelial Stem Cell
4698,CID007849-1,Goblet Cell
4699,CID007849-1,Tuft Cell
4700,CID008109-1,CD209+ moDC
4701,CID008109-1,CD83+ CLEC9A+ DC
4702,CID008109-1,CD83- CLEC9A+ DC
4703,CID008109-1,CLEC10A+ DC
4704,CID008109-1,IL7R+ Activated DC
4705,CID008109-1,Mast Cell
4706,CID008109-1,Memory B cell
4707,CID008109-1,Monocyte Inflammatory
4708,CID008109-1,Proliferating myeloid
4709,CID008109-1,Resident Macrophage
4710,CID008109-1,CD4 SELL naive
4711,CID008109-1,CD4 TRM
4712,CID008109-1,CD4 Tfh
4713,CID008109-1,CD4 Th17
4714,CID008109-1,CD4 Tph
4715,CID008109-1,CD4 Treg
4716,CID008109-1,CD8 Effector
4717,CID008109-1,CD8 IEL
4718,CID008109-1,CD8 SELL Naive
4719,CID008109-1,ILC3
4720,CID008109-1,MAIT
4721,CID008109-1,NK
4722,CID008109-1,Proliferating T cells
4723,CID008109-1,gd T cell 1
4724,CID008109-1,gd T cell 2
4725,CID008109-1,GC-like B cell
4726,CID008109-1,Memory B cell
4727,CID008109-1,Naive B cell
4728,CID008109-1,Plasma Cell
4729,CID008109-1,Plasmablast
4730,CID008109-1,Arterial Pericyte
4731,CID008109-1,Blood Endothelial Cell
4732,CID008109-1,Fibroblast
4733,CID008109-1,Glial Cell
4734,CID008109-1,Inflammatory Fibroblast
4735,CID008109-1,Myofibroblast
4736,CID008109-1,Pericyte
4737,CID008109-1,Post-capillary venules
4738,CID008109-1,Proliferating Stromal Cell
4739,CID008109-1,Smooth Muscle Cell
4740,CID008109-1,Enterocyte
4741,CID008109-1,Enteroendocrine Cell
4742,CID008109-1,Epithelial M Cell
4743,CID008109-1,Epithelial Progenitor Cell
4744,CID008109-1,Epithelial Stem Cell
4745,CID008109-1,Goblet Cell
4746,CID008109-1,Tuft Cell
4747,CID008114-1,CD209+ moDC
4748,CID008114-1,CD83+ CLEC9A+ DC
4749,CID008114-1,CD83- CLEC9A+ DC
4750,CID008114-1,CLEC10A+ DC
4751,CID008114-1,IL7R+ Activated DC
4752,CID008114-1,Mast Cell
4753,CID008114-1,Memory B cell
4754,CID008114-1,Monocyte Inflammatory
4755,CID008114-1,Proliferating myeloid
4756,CID008114-1,Resident Macrophage
4757,CID008114-1,CD4 SELL naive
4758,CID008114-1,CD4 TRM
4759,CID008114-1,CD4 Tfh
4760,CID008114-1,CD4 Th17
4761,CID008114-1,CD4 Tph
4762,CID008114-1,CD4 Treg
4763,CID008114-1,CD8 Effector
4764,CID008114-1,CD8 IEL
4765,CID008114-1,CD8 SELL Naive
4766,CID008114-1,ILC3
4767,CID008114-1,MAIT
4768,CID008114-1,NK
4769,CID008114-1,Proliferating T cells
4770,CID008114-1,gd T cell 1
4771,CID008114-1,gd T cell 2
4772,CID008114-1,GC-like B cell
4773,CID008114-1,Memory B cell
4774,CID008114-1,Naive B cell
4775,CID008114-1,Plasma Cell
4776,CID008114-1,Plasmablast
4777,CID008114-1,Arterial Pericyte
4778,CID008114-1,Blood Endothelial Cell
4779,CID008114-1,Fibroblast
4780,CID008114-1,Glial Cell
4781,CID008114-1,Inflammatory Fibroblast
4782,CID008114-1,Myofibroblast
4783,CID008114-1,Pericyte
4784,CID008114-1,Post-capillary venules
4785,CID008114-1,Proliferating Stromal Cell
4786,CID008114-1,Smooth Muscle Cell
4787,CID008114-1,Enterocyte
4788,CID008114-1,Enteroendocrine Cell
4789,CID008114-1,Epithelial M Cell
4790,CID008114-1,Epithelial Progenitor Cell
4791,CID008114-1,Epithelial Stem Cell
4792,CID008114-1,Goblet Cell
4793,CID008114-1,Tuft Cell
4794,CID008122-1,CD209+ moDC
4795,CID008122-1,CD83+ CLEC9A+ DC
4796,CID008122-1,CD83- CLEC9A+ DC
4797,CID008122-1,CLEC10A+ DC
4798,CID008122-1,IL7R+ Activated DC
4799,CID008122-1,Mast Cell
4800,CID008122-1,Memory B cell
4801,CID008122-1,Monocyte Inflammatory
4802,CID008122-1,Proliferating myeloid
4803,CID008122-1,Resident Macrophage
4804,CID008122-1,CD4 SELL naive
4805,CID008122-1,CD4 TRM
4806,CID008122-1,CD4 Tfh
4807,CID008122-1,CD4 Th17
4808,CID008122-1,CD4 Tph
4809,CID008122-1,CD4 Treg
4810,CID008122-1,CD8 Effector
4811,CID008122-1,CD8 IEL
4812,CID008122-1,CD8 SELL Naive
4813,CID008122-1,ILC3
4814,CID008122-1,MAIT
4815,CID008122-1,NK
4816,CID008122-1,Proliferating T cells
4817,CID008122-1,gd T cell 1
4818,CID008122-1,gd T cell 2
4819,CID008122-1,GC-like B cell
4820,CID008122-1,Memory B cell
4821,CID008122-1,Naive B cell
4822,CID008122-1,Plasma Cell
4823,CID008122-1,Plasmablast
4824,CID008122-1,Arterial Pericyte
4825,CID008122-1,Blood Endothelial Cell
4826,CID008122-1,Fibroblast
4827,CID008122-1,Glial Cell
4828,CID008122-1,Inflammatory Fibroblast
4829,CID008122-1,Myofibroblast
4830,CID008122-1,Pericyte
4831,CID008122-1,Post-capillary venules
4832,CID008122-1,Proliferating Stromal Cell
4833,CID008122-1,Smooth Muscle Cell
4834,CID008122-1,Enterocyte
4835,CID008122-1,Enteroendocrine Cell
4836,CID008122-1,Epithelial M Cell
4837,CID008122-1,Epithelial Progenitor Cell
4838,CID008122-1,Epithelial Stem Cell
4839,CID008122-1,Goblet Cell
4840,CID008122-1,Tuft Cell
4841,CID008457-1,CD209+ moDC
4842,CID008457-1,CD83+ CLEC9A+ DC
4843,CID008457-1,CD83- CLEC9A+ DC
4844,CID008457-1,CLEC10A+ DC
4845,CID008457-1,IL7R+ Activated DC
4846,CID008457-1,Mast Cell
4847,CID008457-1,Memory B cell
4848,CID008457-1,Monocyte Inflammatory
4849,CID008457-1,Proliferating myeloid
4850,CID008457-1,Resident Macrophage
4851,CID008457-1,CD4 SELL naive
4852,CID008457-1,CD4 TRM
4853,CID008457-1,CD4 Tfh
4854,CID008457-1,CD4 Th17
4855,CID008457-1,CD4 Tph
4856,CID008457-1,CD4 Treg
4857,CID008457-1,CD8 Effector
4858,CID008457-1,CD8 IEL
4859,CID008457-1,CD8 SELL Naive
4860,CID008457-1,ILC3
4861,CID008457-1,MAIT
4862,CID008457-1,NK
4863,CID008457-1,Proliferating T cells
4864,CID008457-1,gd T cell 1
4865,CID008457-1,gd T cell 2
4866,CID008457-1,GC-like B cell
4867,CID008457-1,Memory B cell
4868,CID008457-1,Naive B cell
4869,CID008457-1,Plasma Cell
4870,CID008457-1,Plasmablast
4871,CID008457-1,Arterial Pericyte
4872,CID008457-1,Blood Endothelial Cell
4873,CID008457-1,Fibroblast
4874,CID008457-1,Glial Cell
4875,CID008457-1,Inflammatory Fibroblast
4876,CID008457-1,Myofibroblast
4877,CID008457-1,Pericyte
4878,CID008457-1,Post-capillary venules
4879,CID008457-1,Proliferating Stromal Cell
4880,CID008457-1,Smooth Muscle Cell
4881,CID008457-1,Enterocyte
4882,CID008457-1,Enteroendocrine Cell
4883,CID008457-1,Epithelial M Cell
4884,CID008457-1,Epithelial Progenitor Cell
4885,CID008457-1,Epithelial Stem Cell
4886,CID008457-1,Goblet Cell
4887,CID008457-1,Tuft Cell
4888,CID008459-1,CD209+ moDC
4889,CID008459-1,CD83+ CLEC9A+ DC
4890,CID008459-1,CD83- CLEC9A+ DC
4891,CID008459-1,CLEC10A+ DC
4892,CID008459-1,IL7R+ Activated DC
4893,CID008459-1,Mast Cell
4894,CID008459-1,Memory B cell
4895,CID008459-1,Monocyte Inflammatory
4896,CID008459-1,Proliferating myeloid
4897,CID008459-1,Resident Macrophage
4898,CID008459-1,CD4 SELL naive
4899,CID008459-1,CD4 TRM
4900,CID008459-1,CD4 Tfh
4901,CID008459-1,CD4 Th17
4902,CID008459-1,CD4 Tph
4903,CID008459-1,CD4 Treg
4904,CID008459-1,CD8 Effector
4905,CID008459-1,CD8 IEL
4906,CID008459-1,CD8 SELL Naive
4907,CID008459-1,ILC3
4908,CID008459-1,MAIT
4909,CID008459-1,NK
4910,CID008459-1,Proliferating T cells
4911,CID008459-1,gd T cell 1
4912,CID008459-1,gd T cell 2
4913,CID008459-1,GC-like B cell
4914,CID008459-1,Memory B cell
4915,CID008459-1,Naive B cell
4916,CID008459-1,Plasma Cell
4917,CID008459-1,Plasmablast
4918,CID008459-1,Arterial Pericyte
4919,CID008459-1,Blood Endothelial Cell
4920,CID008459-1,Fibroblast
4921,CID008459-1,Glial Cell
4922,CID008459-1,Inflammatory Fibroblast
4923,CID008459-1,Myofibroblast
4924,CID008459-1,Pericyte
4925,CID008459-1,Post-capillary venules
4926,CID008459-1,Proliferating Stromal Cell
4927,CID008459-1,Smooth Muscle Cell
4928,CID008459-1,Enterocyte
4929,CID008459-1,Enteroendocrine Cell
4930,CID008459-1,Epithelial M Cell
4931,CID008459-1,Epithelial Progenitor Cell
4932,CID008459-1,Epithelial Stem Cell
4933,CID008459-1,Goblet Cell
4934,CID008459-1,Tuft Cell
4935,CID008460-1,CD209+ moDC
4936,CID008460-1,CD83+ CLEC9A+ DC
4937,CID008460-1,CD83- CLEC9A+ DC
4938,CID008460-1,CLEC10A+ DC
4939,CID008460-1,IL7R+ Activated DC
4940,CID008460-1,Mast Cell
4941,CID008460-1,Memory B cell
4942,CID008460-1,Monocyte Inflammatory
4943,CID008460-1,Proliferating myeloid
4944,CID008460-1,Resident Macrophage
4945,CID008460-1,CD4 SELL naive
4946,CID008460-1,CD4 TRM
4947,CID008460-1,CD4 Tfh
4948,CID008460-1,CD4 Th17
4949,CID008460-1,CD4 Tph
4950,CID008460-1,CD4 Treg
4951,CID008460-1,CD8 Effector
4952,CID008460-1,CD8 IEL
4953,CID008460-1,CD8 SELL Naive
4954,CID008460-1,ILC3
4955,CID008460-1,MAIT
4956,CID008460-1,NK
4957,CID008460-1,Proliferating T cells
4958,CID008460-1,gd T cell 1
4959,CID008460-1,gd T cell 2
4960,CID008460-1,GC-like B cell
4961,CID008460-1,Memory B cell
4962,CID008460-1,Naive B cell
4963,CID008460-1,Plasma Cell
4964,CID008460-1,Plasmablast
4965,CID008460-1,Arterial Pericyte
4966,CID008460-1,Blood Endothelial Cell
4967,CID008460-1,Fibroblast
4968,CID008460-1,Glial Cell
4969,CID008460-1,Inflammatory Fibroblast
4970,CID008460-1,Myofibroblast
4971,CID008460-1,Pericyte
4972,CID008460-1,Post-capillary venules
4973,CID008460-1,Proliferating Stromal Cell
4974,CID008460-1,Smooth Muscle Cell
4975,CID008460-1,Enterocyte
4976,CID008460-1,Enteroendocrine Cell
4977,CID008460-1,Epithelial M Cell
4978,CID008460-1,Epithelial Progenitor Cell
4979,CID008460-1,Epithelial Stem Cell
4980,CID008460-1,Goblet Cell
4981,CID008460-1,Tuft Cell
4982,CID003352-2,CD209+ moDC
4983,CID003352-2,CD83+ CLEC9A+ DC
4984,CID003352-2,CD83- CLEC9A+ DC
4985,CID003352-2,CLEC10A+ DC
4986,CID003352-2,IL7R+ Activated DC
4987,CID003352-2,Mast Cell
4988,CID003352-2,Memory B cell
4989,CID003352-2,Monocyte Inflammatory
4990,CID003352-2,Proliferating myeloid
4991,CID003352-2,Resident Macrophage
4992,CID003352-2,CD4 SELL naive
4993,CID003352-2,CD4 TRM
4994,CID003352-2,CD4 Tfh
4995,CID003352-2,CD4 Th17
4996,CID003352-2,CD4 Tph
4997,CID003352-2,CD4 Treg
4998,CID003352-2,CD8 Effector
4999,CID003352-2,CD8 IEL
5000,CID003352-2,CD8 SELL Naive
5001,CID003352-2,ILC3
5002,CID003352-2,MAIT
5003,CID003352-2,NK
5004,CID003352-2,Proliferating T cells
5005,CID003352-2,gd T cell 1
5006,CID003352-2,gd T cell 2
5007,CID003352-2,GC-like B cell
5008,CID003352-2,Memory B cell
5009,CID003352-2,Naive B cell
5010,CID003352-2,Plasma Cell
5011,CID003352-2,Plasmablast
5012,CID003352-2,Arterial Pericyte
5013,CID003352-2,Blood Endothelial Cell
5014,CID003352-2,Fibroblast
5015,CID003352-2,Glial Cell
5016,CID003352-2,Inflammatory Fibroblast
5017,CID003352-2,Myofibroblast
5018,CID003352-2,Pericyte
5019,CID003352-2,Post-capillary venules
5020,CID003352-2,Proliferating Stromal Cell
5021,CID003352-2,Smooth Muscle Cell
5022,CID003352-2,Enterocyte
5023,CID003352-2,Enteroendocrine Cell
5024,CID003352-2,Epithelial M Cell
5025,CID003352-2,Epithelial Progenitor Cell
5026,CID003352-2,Epithelial Stem Cell
5027,CID003352-2,Goblet Cell
5028,CID003352-2,Tuft Cell
5029,CID003353-1,CD209+ moDC
5030,CID003353-1,CD83+ CLEC9A+ DC
5031,CID003353-1,CD83- CLEC9A+ DC
5032,CID003353-1,CLEC10A+ DC
5033,CID003353-1,IL7R+ Activated DC
5034,CID003353-1,Mast Cell
5035,CID003353-1,Memory B cell
5036,CID003353-1,Monocyte Inflammatory
5037,CID003353-1,Proliferating myeloid
5038,CID003353-1,Resident Macrophage
5039,CID003353-1,CD4 SELL naive
5040,CID003353-1,CD4 TRM
5041,CID003353-1,CD4 Tfh
5042,CID003353-1,CD4 Th17
5043,CID003353-1,CD4 Tph
5044,CID003353-1,CD4 Treg
5045,CID003353-1,CD8 Effector
5046,CID003353-1,CD8 IEL
5047,CID003353-1,CD8 SELL Naive
5048,CID003353-1,ILC3
5049,CID003353-1,MAIT
5050,CID003353-1,NK
5051,CID003353-1,Proliferating T cells
5052,CID003353-1,gd T cell 1
5053,CID003353-1,gd T cell 2
5054,CID003353-1,GC-like B cell
5055,CID003353-1,Memory B cell
5056,CID003353-1,Naive B cell
5057,CID003353-1,Plasma Cell
5058,CID003353-1,Plasmablast
5059,CID003353-1,Arterial Pericyte
5060,CID003353-1,Blood Endothelial Cell
5061,CID003353-1,Fibroblast
5062,CID003353-1,Glial Cell
5063,CID003353-1,Inflammatory Fibroblast
5064,CID003353-1,Myofibroblast
5065,CID003353-1,Pericyte
5066,CID003353-1,Post-capillary venules
5067,CID003353-1,Proliferating Stromal Cell
5068,CID003353-1,Smooth Muscle Cell
5069,CID003353-1,Enterocyte
5070,CID003353-1,Enteroendocrine Cell
5071,CID003353-1,Epithelial M Cell
5072,CID003353-1,Epithelial Progenitor Cell
5073,CID003353-1,Epithelial Stem Cell
5074,CID003353-1,Goblet Cell
5075,CID003353-1,Tuft Cell
5076,CID003354-1,CD209+ moDC
5077,CID003354-1,CD83+ CLEC9A+ DC
5078,CID003354-1,CD83- CLEC9A+ DC
5079,CID003354-1,CLEC10A+ DC
5080,CID003354-1,IL7R+ Activated DC
5081,CID003354-1,Mast Cell
5082,CID003354-1,Memory B cell
5083,CID003354-1,Monocyte Inflammatory
5084,CID003354-1,Proliferating myeloid
5085,CID003354-1,Resident Macrophage
5086,CID003354-1,CD4 SELL naive
5087,CID003354-1,CD4 TRM
5088,CID003354-1,CD4 Tfh
5089,CID003354-1,CD4 Th17
5090,CID003354-1,CD4 Tph
5091,CID003354-1,CD4 Treg
5092,CID003354-1,CD8 Effector
5093,CID003354-1,CD8 IEL
5094,CID003354-1,CD8 SELL Naive
5095,CID003354-1,ILC3
5096,CID003354-1,MAIT
5097,CID003354-1,NK
5098,CID003354-1,Proliferating T cells
5099,CID003354-1,gd T cell 1
5100,CID003354-1,gd T cell 2
5101,CID003354-1,GC-like B cell
5102,CID003354-1,Memory B cell
5103,CID003354-1,Naive B cell
5104,CID003354-1,Plasma Cell
5105,CID003354-1,Plasmablast
5106,CID003354-1,Arterial Pericyte
5107,CID003354-1,Blood Endothelial Cell
5108,CID003354-1,Fibroblast
5109,CID003354-1,Glial Cell
5110,CID003354-1,Inflammatory Fibroblast
5111,CID003354-1,Myofibroblast
5112,CID003354-1,Pericyte
5113,CID003354-1,Post-capillary venules
5114,CID003354-1,Proliferating Stromal Cell
5115,CID003354-1,Smooth Muscle Cell
5116,CID003354-1,Enterocyte
5117,CID003354-1,Enteroendocrine Cell
5118,CID003354-1,Epithelial M Cell
5119,CID003354-1,Epithelial Progenitor Cell
5120,CID003354-1,Epithelial Stem Cell
5121,CID003354-1,Goblet Cell
5122,CID003354-1,Tuft Cell
5123,CID003355-1,CD209+ moDC
5124,CID003355-1,CD83+ CLEC9A+ DC
5125,CID003355-1,CD83- CLEC9A+ DC
5126,CID003355-1,CLEC10A+ DC
5127,CID003355-1,IL7R+ Activated DC
5128,CID003355-1,Mast Cell
5129,CID003355-1,Memory B cell
5130,CID003355-1,Monocyte Inflammatory
5131,CID003355-1,Proliferating myeloid
5132,CID003355-1,Resident Macrophage
5133,CID003355-1,CD4 SELL naive
5134,CID003355-1,CD4 TRM
5135,CID003355-1,CD4 Tfh
5136,CID003355-1,CD4 Th17
5137,CID003355-1,CD4 Tph
5138,CID003355-1,CD4 Treg
5139,CID003355-1,CD8 Effector
5140,CID003355-1,CD8 IEL
5141,CID003355-1,CD8 SELL Naive
5142,CID003355-1,ILC3
5143,CID003355-1,MAIT
5144,CID003355-1,NK
5145,CID003355-1,Proliferating T cells
5146,CID003355-1,gd T cell 1
5147,CID003355-1,gd T cell 2
5148,CID003355-1,GC-like B cell
5149,CID003355-1,Memory B cell
5150,CID003355-1,Naive B cell
5151,CID003355-1,Plasma Cell
5152,CID003355-1,Plasmablast
5153,CID003355-1,Arterial Pericyte
5154,CID003355-1,Blood Endothelial Cell
5155,CID003355-1,Fibroblast
5156,CID003355-1,Glial Cell
5157,CID003355-1,Inflammatory Fibroblast
5158,CID003355-1,Myofibroblast
5159,CID003355-1,Pericyte
5160,CID003355-1,Post-capillary venules
5161,CID003355-1,Proliferating Stromal Cell
5162,CID003355-1,Smooth Muscle Cell
5163,CID003355-1,Enterocyte
5164,CID003355-1,Enteroendocrine Cell
5165,CID003355-1,Epithelial M Cell
5166,CID003355-1,Epithelial Progenitor Cell
5167,CID003355-1,Epithelial Stem Cell
5168,CID003355-1,Goblet Cell
5169,CID003355-1,Tuft Cell
5170,CID003356-1,CD209+ moDC
5171,CID003356-1,CD83+ CLEC9A+ DC
5172,CID003356-1,CD83- CLEC9A+ DC
5173,CID003356-1,CLEC10A+ DC
5174,CID003356-1,IL7R+ Activated DC
5175,CID003356-1,Mast Cell
5176,CID003356-1,Memory B cell
5177,CID003356-1,Monocyte Inflammatory
5178,CID003356-1,Proliferating myeloid
5179,CID003356-1,Resident Macrophage
5180,CID003356-1,CD4 SELL naive
5181,CID003356-1,CD4 TRM
5182,CID003356-1,CD4 Tfh
5183,CID003356-1,CD4 Th17
5184,CID003356-1,CD4 Tph
5185,CID003356-1,CD4 Treg
5186,CID003356-1,CD8 Effector
5187,CID003356-1,CD8 IEL
5188,CID003356-1,CD8 SELL Naive
5189,CID003356-1,ILC3
5190,CID003356-1,MAIT
5191,CID003356-1,NK
5192,CID003356-1,Proliferating T cells
5193,CID003356-1,gd T cell 1
5194,CID003356-1,gd T cell 2
5195,CID003356-1,GC-like B cell
5196,CID003356-1,Memory B cell
5197,CID003356-1,Naive B cell
5198,CID003356-1,Plasma Cell
5199,CID003356-1,Plasmablast
5200,CID003356-1,Arterial Pericyte
5201,CID003356-1,Blood Endothelial Cell
5202,CID003356-1,Fibroblast
5203,CID003356-1,Glial Cell
5204,CID003356-1,Inflammatory Fibroblast
5205,CID003356-1,Myofibroblast
5206,CID003356-1,Pericyte
5207,CID003356-1,Post-capillary venules
5208,CID003356-1,Proliferating Stromal Cell
5209,CID003356-1,Smooth Muscle Cell
5210,CID003356-1,Enterocyte
5211,CID003356-1,Enteroendocrine Cell
5212,CID003356-1,Epithelial M Cell
5213,CID003356-1,Epithelial Progenitor Cell
5214,CID003356-1,Epithelial Stem Cell
5215,CID003356-1,Goblet Cell
5216,CID003356-1,Tuft Cell
5217,CID003357-1,CD209+ moDC
5218,CID003357-1,CD83+ CLEC9A+ DC
5219,CID003357-1,CD83- CLEC9A+ DC
5220,CID003357-1,CLEC10A+ DC
5221,CID003357-1,IL7R+ Activated DC
5222,CID003357-1,Mast Cell
5223,CID003357-1,Memory B cell
5224,CID003357-1,Monocyte Inflammatory
5225,CID003357-1,Proliferating myeloid
5226,CID003357-1,Resident Macrophage
5227,CID003357-1,CD4 SELL naive
5228,CID003357-1,CD4 TRM
