,Tumor_model_annot,Blood_model_annot,Dataset
SRX2378919,CD4_T_cells,CD4_T_cells,GSE90569
SRX4599903,CD4_T_cells,CD4_T_cells,GSE118951
SRX749884,CD4_T_cells,CD4_T_cells,GSE62920
SRX680594,Monocytes,Monocytes,GSE60424
SRX4797299,Neutrophils,Neutrophils,GSE112101
SRX5162214,Monocytes,Monocytes,GSE124073
SRX6404733,,CD8_T_cells,GSE133822
SRX1363182,CD8_T_cells,CD8_T_cells,GSE74246
ERX1270131,T_cells,T_cells,E-MTAB-4162
SRX865095,CD4_T_cells,CD4_T_cells,GSE65621
SRX4518721,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX5236165,T_cells,T_cells,GSE124876
SRX4456884,CD4_T_cells,CD4_T_cells,GSE117655
SRX5282953,,CD4_T_cells,GSE125504
SRX2614897,T_helpers,CD4_T_cells,GSE95754
SRX1515457,,PDC,GSE76511
SRX5686081,CD4_T_cells,CD4_T_cells,GSE129829
SRX4453811,NK_cells,NK_cells,GSE117614
SRX4203007,Monocytes,Monocytes,GSE115736
SRX7052835,,Neutrophils,GSE139358
SRX5162239,Monocytes,Monocytes,GSE124073
SRX6404702,,CD8_T_cells,GSE133822
SRX5572937,,CD4_T_cells,GSE128822
SRX4044527,CD4_T_cells,CD4_T_cells,GSE114065
SRX3644639,T_cells,T_cells,GSE110097
SRX4121376,CD4_T_cells,CD4_T_cells,GSE114883
SRX3644636,CD4_T_cells,CD4_T_cells,GSE110097
SRX4219521,,T_cells,GSE115831
SRX2558454,T_helpers,CD4_T_cells,GSE94859
SRX5686052,CD4_T_cells,CD4_T_cells,GSE129829
ERX2237276,CD4_T_cells,CD4_T_cells,E-MTAB-6158
SRX6369368,,NK_cells,GSE133383
SRX5806659,,CD4_T_cells,GSE130882
SRX3630219,CD8_T_cells,CD8_T_cells,GSE109841
SRX680553,Monocytes,Monocytes,GSE60424
SRX5316077,Monocytes,Monocytes,GSE117970
SRX5686087,CD4_T_cells,CD4_T_cells,GSE129829
ERX1819166,CD4_T_cells,CD4_T_cells,E-MTAB-5322
SRX4518726,Non_plasma_B_cells,B_cells,GSE118254
SRX5123153,Monocytes,Monocytes,GSE123532
SRX3263458,CD8_T_cells,CD8_T_cells,GSE104744
SRX2469640,Myeloid_cells,Myeloid_cells,GSE93265
SRX3184905,CD4_T_cells,CD4_T_cells,GSE103844
SRX6404642,,CD4_T_cells,GSE133822
SRX5557478,NK_cells,NK_cells,GSE128696
SRX4559895,Neutrophils,Neutrophils,GSE118644
SRX3263471,CD8_T_cells,CD8_T_cells,GSE104744
SRX5294193,NK_cells,NK_cells,GSE125686
SRX3862278,NK_cells,NK_cells,GSE112483
SRX6457043,,CD4_T_cells,GSE134416
ERX397850,Non_plasma_B_cells,B_cells,E-MTAB-2319
SRX6727422,,Monocytes,GSE135902
ERX2237275,Tregs,CD4_T_cells,E-MTAB-6158
SRX1950652,,CD8_T_cells,GSE84445
SRX2635611,CD4_T_cells,CD4_T_cells,GSE96538
SRX4044572,CD4_T_cells,CD4_T_cells,GSE114065
SRX372050,Non_plasma_B_cells,Non_plasma_B_cells,GSE51984
SRX4044535,CD4_T_cells,CD4_T_cells,GSE114065
SRX680558,Monocytes,Monocytes,GSE60424
SRX4277207,CD4_T_cells,CD4_T_cells,GSE116073
SRX865096,CD4_T_cells,CD4_T_cells,GSE65621
SRX372049,Non_plasma_B_cells,Non_plasma_B_cells,GSE51984
SRX1130218,,CD4_T_cells,GSE71645
ERX1973415,CD4_T_cells,CD4_T_cells,E-MTAB-5622
SRX1959675,T_cells,T_cells,GSE84531
SRX2469635,Monocytes,Monocytes,GSE93265
SRX3185004,CD4_T_cells,CD4_T_cells,GSE103844
SRX1262136,CD4_T_cells,CD4_T_cells,GSE73213
SRX1059587,CD4_T_cells,CD4_T_cells,GSE69905
SRX6404575,,CD8_T_cells,GSE133822
SRX6404649,,CD4_T_cells,GSE133822
SRX375709,CD4_T_cells,CD4_T_cells,GSE52260
SRX3184978,CD4_T_cells,CD4_T_cells,GSE103844
SRX5316100,Monocytes,Monocytes,GSE117970
SRX1272120,Neutrophils,Neutrophils,GSE73313
SRX3263494,Monocytes,Monocytes,GSE104744
SRX3184960,CD4_T_cells,CD4_T_cells,GSE103844
SRX4044521,CD4_T_cells,CD4_T_cells,GSE114065
SRX2200800,,CD8_T_cells,GSE87505
SRX2532728,CD4_T_cells,CD4_T_cells,GSE94396
SRX2875307,CD8_T_cells_PD1_low,CD8_T_cells,GSE99531
SRX5686043,CD4_T_cells,CD4_T_cells,GSE129829
SRX3184979,CD4_T_cells,CD4_T_cells,GSE103844
SRX4797294,Neutrophils,Neutrophils,GSE112101
SRX4456896,CD4_T_cells,CD4_T_cells,GSE117655
SRX6404683,,CD8_T_cells,GSE133822
SRX5316073,Monocytes,Monocytes,GSE117970
SRX6404663,,CD4_T_cells,GSE133822
SRX3263425,CD4_T_cells,CD4_T_cells,GSE104744
ERX397897,Non_plasma_B_cells,B_cells,E-MTAB-2319
SRX5282946,,CD4_T_cells,GSE125504
SRX6404592,,CD8_T_cells,GSE133822
SRX6369359,,NK_cells,GSE133383
SRX3185021,CD4_T_cells,CD4_T_cells,GSE103844
SRX680566,CD8_T_cells,CD8_T_cells,GSE60424
SRX5312178,,NK_cells,GSE125916
SRX3184967,CD4_T_cells,CD4_T_cells,GSE103844
SRX6404670,,CD4_T_cells,GSE133822
SRX4456921,CD4_T_cells,CD4_T_cells,GSE117655
SRX5557480,NK_cells,NK_cells,GSE128696
SRX2563421,,B_cells,GSE94897
SRX6404569,,CD8_T_cells,GSE133822
SRX5128306,Neutrophils,Neutrophils,GSE123785
SRX6404647,,CD4_T_cells,GSE133822
SRX1921651,,PDC,GSE84204
SRX2953990,Non_plasma_B_cells,B_cells,GSE100441
SRX6404795,,Monocytes,GSE133822
SRX5806672,,CD4_T_cells,GSE130882
SRX865105,CD4_T_cells,CD4_T_cells,GSE65621
SRX1802842,CD8_T_cells,CD8_T_cells,GSE81975
SRX680554,Non_plasma_B_cells,Non_plasma_B_cells,GSE60424
SRX1950665,,CD4_T_cells,GSE84445
SRX5214051,CD4_T_cells,CD4_T_cells,GSE124757
SRX3263520,Monocytes,Monocytes,GSE104744
SRX4044598,CD4_T_cells,CD4_T_cells,GSE114065
SRX7052817,,Neutrophils,GSE139358
ERX2283322,,CD4_T_cells,E-MTAB-6370
SRX2635639,T_helpers,CD4_T_cells,GSE96538
SRX4732971,T_cells,T_cells,GSE120364
SRX5316080,Monocytes,Monocytes,GSE117970
SRX3464055,CD4_T_cells,CD4_T_cells,GSE107981
SRX5162202,Monocytes,Monocytes,GSE124073
SRX2321309,,PDC,GSE89442
SRX3848487,Th1_cells,CD4_T_cells,GSE112341
SRX2532719,CD4_T_cells,CD4_T_cells,GSE94396
SRX1515453,,PDC,GSE76511
SRX5775858,,CD4_T_cells,GSE130580
SRX2585777,CD4_T_cells,CD4_T_cells,GSE95297
SRX2875335,CD8_T_cells,CD8_T_cells,GSE99531
ERX211576,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX3702491,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE110669
SRX1066933,Neutrophils,Neutrophils,GSE70068
SRX3184886,CD4_T_cells,CD4_T_cells,GSE103844
SRX3100170,,CD4_T_cells,GSE102751
SRX3361960,Neutrophils,Neutrophils,GSE106520
SRX5162187,Monocytes,Monocytes,GSE124073
SRX2635626,T_helpers,CD4_T_cells,GSE96538
SRX5423527,NK_cells,NK_cells,GSE127081
SRX2558450,T_helpers,CD4_T_cells,GSE94859
SRX3263431,CD4_T_cells,CD4_T_cells,GSE104744
SRX2378922,T_helpers,CD4_T_cells,GSE90569
SRX4456879,CD4_T_cells,CD4_T_cells,GSE117655
SRX6727403,,Monocytes,GSE135902
SRX3399194,CD4_T_cells,CD4_T_cells,GSE107011
SRX372060,Monocytes,Monocytes,GSE51984
SRX2767769,,B_cells,GSE98310
SRX1881717,T_helpers,CD4_T_cells,GSE83808
SRX372053,,Granulocytes,GSE51984
SRX372052,,Granulocytes,GSE51984
SRX2741706,T_helpers,CD4_T_cells,GSE97862
SRX4044517,CD4_T_cells,CD4_T_cells,GSE114065
SRX5128318,Neutrophils,Neutrophils,GSE123785
SRX5702687,,Monocytes,GSE129935
SRX1740197,T_cells,T_cells,GSE81063
SRX3263529,Monocytes,Monocytes,GSE104744
SRX2267392,T_cells,T_cells,GSE89134
ERX2283339,,CD8_T_cells,E-MTAB-6370
SRX3263474,CD8_T_cells,CD8_T_cells,GSE104744
ERX2237268,CD4_T_cells,CD4_T_cells,E-MTAB-6158
SRX3399212,Neutrophils,Neutrophils,GSE107011
SRX5162195,Monocytes,Monocytes,GSE124073
SRX5806676,,CD4_T_cells,GSE130882
SRX4277197,CD4_T_cells,CD4_T_cells,GSE116073
SRX6404757,,Monocytes,GSE133822
SRX7051975,,CD4_T_cells,GSE139341
SRX2585759,CD4_T_cells,CD4_T_cells,GSE95297
SRX1903077,,Neutrophils,GSE84153
SRX4198457,T_cells,T_cells,GSE115686
SRX2953986,Non_plasma_B_cells,B_cells,GSE100441
SRX3184949,CD4_T_cells,CD4_T_cells,GSE103844
SRX1562193,Monocytes,Monocytes,GSE77598
SRX5294220,NK_cells,NK_cells,GSE125686
SRX1272125,Neutrophils,Neutrophils,GSE73313
SRX1802845,gd_T_Cells,T_cells,GSE81975
SRX4044566,CD4_T_cells,CD4_T_cells,GSE114065
SRX5572931,,CD4_T_cells,GSE128822
SRX1066932,Neutrophils,Neutrophils,GSE70068
SRX2422727,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE92387
SRX6727417,,Monocytes,GSE135902
SRX2469652,Myeloid_cells,Myeloid_cells,GSE93265
SRX1562198,Monocytes,Monocytes,GSE77598
SRX2271046,,CD4_T_cells,GSE89225
SRX3185031,CD4_T_cells,CD4_T_cells,GSE103844
SRX7142031,CD8_T_cells,CD8_T_cells,GSE140430
SRX5799665,,CD4_T_cells,GSE130793
SRX3049456,CD4_T_cells,CD4_T_cells,GSE102045
ERX2283343,,CD8_T_cells,E-MTAB-6370
SRX5065868,,B_cells,GSE122982
SRX865099,CD4_T_cells,CD4_T_cells,GSE65621
SRX3185014,CD4_T_cells,CD4_T_cells,GSE103844
SRX2378877,T_helpers,CD4_T_cells,GSE90569
SRX4559897,Neutrophils,Neutrophils,GSE118644
SRX6771549,Neutrophils,Neutrophils,GSE136632
SRX4277214,CD4_T_cells,CD4_T_cells,GSE116073
SRX5444152,,CD4_T_cells,GSE127457
SRX3184898,CD4_T_cells,CD4_T_cells,GSE103844
SRX5702701,,Monocytes,GSE129935
SRX828393,Neutrophils,Neutrophils,GSE64655
SRX4277192,CD4_T_cells,CD4_T_cells,GSE116073
SRX6680457,,CD8_T_cells,GSE135582
SRX734213,T_cells,T_cells,GSE62408
SRX6457019,,CD4_T_cells,GSE134416
SRX4620966,,CD4_T_cells,GSE119192
SRX3263442,CD4_T_cells,CD4_T_cells,GSE104744
SRX5686083,CD4_T_cells,CD4_T_cells,GSE129829
SRX4453816,CD8_T_cells,CD8_T_cells,GSE117614
SRX7052846,,Neutrophils,GSE139358
SRX2585767,CD4_T_cells,CD4_T_cells,GSE95297
SRX3185060,CD4_T_cells,CD4_T_cells,GSE103844
SRX1562199,Monocytes,Monocytes,GSE77598
SRX2635628,T_helpers,CD4_T_cells,GSE96538
SRX828409,Non_plasma_B_cells,Non_plasma_B_cells,GSE64655
SRX5162186,Monocytes,Monocytes,GSE124073
SRX3733717,Non_plasma_B_cells,Naive_B_cells,GSE110999
SRX2321317,,PDC,GSE89442
SRX2558432,T_helpers,CD4_T_cells,GSE94859
SRX4044551,CD4_T_cells,CD4_T_cells,GSE114065
SRX5316070,Monocytes,Monocytes,GSE117970
SRX6404750,,Monocytes,GSE133822
SRX375681,CD4_T_cells,CD4_T_cells,GSE52260
SRX2532709,CD4_T_cells,CD4_T_cells,GSE94396
SRX5316101,Monocytes,Monocytes,GSE117970
SRX5162173,Monocytes,Monocytes,GSE124073
SRX2875330,CD8_T_cells_PD1_low,CD8_T_cells,GSE99531
SRX4150591,NK_cells,NK_cells,GSE115203
SRX3630248,CD4_T_cells,CD4_T_cells,GSE109843
ERX1973411,CD4_T_cells,CD4_T_cells,E-MTAB-5622
SRX3733710,Non_plasma_B_cells,Naive_B_cells,GSE110999
SRX4277218,CD4_T_cells,CD4_T_cells,GSE116073
SRX7142032,CD8_T_cells_PD1_high,CD8_T_cells,GSE140430
SRX5702688,,Monocytes,GSE129935
SRX375667,CD4_T_cells,CD4_T_cells,GSE52260
SRX5686084,CD4_T_cells,CD4_T_cells,GSE129829
SRX5316092,Monocytes,Monocytes,GSE117970
SRX5600980,NK_cells,NK_cells,GSE129044
SRX5572933,,CD4_T_cells,GSE128822
SRX3630247,CD4_T_cells,CD4_T_cells,GSE109843
SRX4677049,CD8_T_cells,CD8_T_cells,GSE119918
SRX5128321,Neutrophils,Neutrophils,GSE123785
SRX4289105,Non_plasma_B_cells,Non_plasma_B_cells,GSE106851
SRX5162191,Monocytes,Monocytes,GSE124073
ERX556146,Non_plasma_B_cells,Non_plasma_B_cells,E-MTAB-2925
SRX6404600,,Monocytes,GSE133822
SRX2323836,NK_cells,NK_cells,GSE89484
SRX375685,CD4_T_cells,CD4_T_cells,GSE52260
SRX4797300,CD4_T_cells,CD4_T_cells,GSE112101
SRX5686048,CD4_T_cells,CD4_T_cells,GSE129829
SRX6404639,,CD4_T_cells,GSE133822
SRX3678130,CD4_T_cells,CD4_T_cells,GSE110417
SRX5799672,,CD4_T_cells,GSE130793
SRX2635650,CD4_T_cells,CD4_T_cells,GSE96538
SRX1950667,,CD4_T_cells,GSE84445
SRX5609036,Neutrophils,Neutrophils,GSE129093
SRX1903087,,Neutrophils,GSE84153
SRX4456882,CD4_T_cells,CD4_T_cells,GSE117655
SRX6404704,,CD8_T_cells,GSE133822
SRX7052845,,Neutrophils,GSE139358
SRX3185059,CD4_T_cells,CD4_T_cells,GSE103844
ERX1819168,CD4_T_cells,CD4_T_cells,E-MTAB-5322
SRX865109,CD4_T_cells,CD4_T_cells,GSE65621
SRX2378926,T_helpers,CD4_T_cells,GSE90569
SRX2558441,T_helpers,CD4_T_cells,GSE94859
SRX6457014,,CD4_T_cells,GSE134416
SRX2532689,CD4_T_cells,CD4_T_cells,GSE94396
SRX3263423,CD4_T_cells,CD4_T_cells,GSE104744
SRX3184938,CD4_T_cells,CD4_T_cells,GSE103844
SRX4978132,CD8_T_cells,CD8_T_cells,GSE122149
SRX4495352,Monocytes,Monocytes,GSE117970
SRX2953994,Non_plasma_B_cells,B_cells,GSE100441
SRX828395,NK_cells,NK_cells,GSE64655
SRX2321307,,PDC,GSE89442
SRX6404740,,CD8_T_cells,GSE133822
SRX5316067,Monocytes,Monocytes,GSE117970
SRX828387,Monocytes,Monocytes,GSE64655
SRX4121361,CD4_T_cells,CD4_T_cells,GSE114883
SRX6404773,,Monocytes,GSE133822
SRX4044574,CD4_T_cells,CD4_T_cells,GSE114065
SRX4044547,CD4_T_cells,CD4_T_cells,GSE114065
SRX6404755,,Monocytes,GSE133822
SRX5162229,Monocytes,Monocytes,GSE124073
SRX3630228,CD8_T_cells,CD8_T_cells,GSE109841
SRX5128319,Neutrophils,Neutrophils,GSE123785
SRX5162228,Monocytes,Monocytes,GSE124073
SRX865107,CD4_T_cells,CD4_T_cells,GSE65621
SRX3298798,Myeloid_cells,Myeloid_cells,GSE105142
SRX5294201,NK_cells,NK_cells,GSE125686
SRX3702487,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE110669
SRX3185057,CD4_T_cells,CD4_T_cells,GSE103844
SRX6404753,,Monocytes,GSE133822
SRX680557,Neutrophils,Neutrophils,GSE60424
SRX3733725,Non_plasma_B_cells,Naive_B_cells,GSE110999
SRX2469656,Monocytes,Monocytes,GSE93265
SRX1871070,,CD8_T_cells,GSE83637
SRX2481676,T_cells,T_cells,GSE93386
SRX2558444,T_helpers,CD4_T_cells,GSE94859
SRX680586,Neutrophils,Neutrophils,GSE60424
SRX4518775,Non_plasma_B_cells,B_cells,GSE118254
SRX2635617,T_helpers,CD4_T_cells,GSE96538
SRX2378911,T_helpers,CD4_T_cells,GSE90569
SRX2271065,,CD4_T_cells,GSE89225
ERX397868,CD4_T_cells,CD4_T_cells,E-MTAB-2319
SRX6404696,,CD4_T_cells,GSE133822
SRX2558439,T_helpers,CD4_T_cells,GSE94859
SRX4518795,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX5162168,Monocytes,Monocytes,GSE124073
SRX5806658,,CD4_T_cells,GSE130882
SRX4996459,,NK_cells,GSE122324
SRX5557484,NK_cells,NK_cells,GSE128696
SRX3630260,CD4_T_cells,CD4_T_cells,GSE109843
SRX6404656,,CD4_T_cells,GSE133822
SRX6404685,,CD8_T_cells,GSE133822
SRX2635632,CD4_T_cells,CD4_T_cells,GSE96538
SRX3185016,CD4_T_cells,CD4_T_cells,GSE103844
SRX1950670,,CD8_T_cells,GSE84445
SRX680588,Non_plasma_B_cells,Non_plasma_B_cells,GSE60424
SRX6457080,,CD4_T_cells,GSE134416
SRX6404784,,Monocytes,GSE133822
SRX682477,CD4_T_cells,CD4_T_cells,GSE60482
SRX3399236,Monocytes,Non_classical_monocytes,GSE107011
SRX6404596,,Monocytes,GSE133822
SRX828379,Non_plasma_B_cells,Non_plasma_B_cells,GSE64655
SRX5686062,CD4_T_cells,CD4_T_cells,GSE129829
SRX4797315,Non_plasma_B_cells,B_cells,GSE112101
SRX375673,CD4_T_cells,CD4_T_cells,GSE52260
SRX828394,NK_cells,NK_cells,GSE64655
SRX5028408,T_helpers,CD4_T_cells,GSE122735
SRX6404572,,CD8_T_cells,GSE133822
SRX2370306,CD4_T_cells,CD4_T_cells,GSE90468
SRX2635643,T_helpers,CD4_T_cells,GSE96538
SRX4075028,Monocytes,Monocytes,GSE114407
SRX4107916,CD4_T_cells,CD4_T_cells,GSE114716
SRX680640,NK_cells,NK_cells,GSE60424
SRX5019116,T_cells,T_cells,GSE122624
SRX2585448,Plasma_B_cells,B_cells,GSE95282
SRX5702693,,Monocytes,GSE129935
SRX375687,CD4_T_cells,CD4_T_cells,GSE52260
SRX5128322,Neutrophils,Neutrophils,GSE123785
SRX6404689,,CD4_T_cells,GSE133822
SRX5686020,CD4_T_cells,CD4_T_cells,GSE129829
SRX1903081,,Neutrophils,GSE84153
SRX3680692,Tregs,CD4_T_cells,GSE110469
SRX2532687,CD4_T_cells,CD4_T_cells,GSE94396
SRX3263473,T_cells,CD8_T_cells,GSE104744
ERX1958869,Non_plasma_B_cells,Non_plasma_B_cells,E-MTAB-5616
SRX2585756,CD4_T_cells,CD4_T_cells,GSE95297
SRX3263444,CD4_T_cells,CD4_T_cells,GSE104744
SRX4198450,T_cells,T_cells,GSE115686
SRX2635656,Tregs,CD4_T_cells,GSE96538
SRX2193264,NK_cells,NK_cells,GSE87392
SRX1503205,T_cells,T_cells,GSE76371
SRX3184923,CD4_T_cells,CD4_T_cells,GSE103844
SRX6404737,,CD8_T_cells,GSE133822
SRX5162183,Monocytes,Monocytes,GSE124073
SRX3680682,Tregs,CD4_T_cells,GSE110469
SRX2532692,CD4_T_cells,CD4_T_cells,GSE94396
SRX5806675,,CD4_T_cells,GSE130882
SRX2200781,,CD8_T_cells,GSE87505
SRX1262111,CD4_T_cells,CD4_T_cells,GSE73213
SRX3263479,CD8_T_cells,CD8_T_cells,GSE104744
SRX6404623,,CD8_T_cells,GSE133822
SRX3185008,CD4_T_cells,CD4_T_cells,GSE103844
SRX6404732,,CD8_T_cells,GSE133822
SRX680662,Monocytes,Monocytes,GSE60424
SRX3185009,CD4_T_cells,CD4_T_cells,GSE103844
SRX7052826,,Neutrophils,GSE139358
SRX2558437,T_helpers,CD4_T_cells,GSE94859
SRX2614905,CD4_T_cells,CD4_T_cells,GSE95754
SRX6369377,,NK_cells,GSE133383
SRX3184991,CD4_T_cells,CD4_T_cells,GSE103844
SRX2271061,,CD4_T_cells,GSE89225
SRX2965752,CD8_T_cells,CD8_T_cells,GSE100624
SRX3399228,T_cells,T_cells,GSE107011
SRX1903074,,Neutrophils,GSE84153
SRX5775859,,CD4_T_cells,GSE130580
SRX7051966,,CD4_T_cells,GSE139341
SRX2585454,B_cells,B_cells,GSE95282
SRX3680678,T_helpers,CD4_T_cells,GSE110469
SRX5019120,T_cells,T_cells,GSE122624
SRX5294186,NK_cells,NK_cells,GSE125686
SRX3889777,,B_cells,GSE103057
SRX3263536,Monocytes,Monocytes,GSE104744
SRX5444145,,CD4_T_cells,GSE127457
SRX3184914,CD4_T_cells,CD4_T_cells,GSE103844
SRX182672,Neutrophils,Neutrophils,GSE40548
SRX3733720,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE110999
SRX4198449,T_cells,T_cells,GSE115686
SRX4518724,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX5686035,CD4_T_cells,CD4_T_cells,GSE129829
SRX1903076,,Neutrophils,GSE84153
SRX7052816,,Neutrophils,GSE139358
ERX211584,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX2200758,,CD4_T_cells,GSE87505
SRX3184944,CD4_T_cells,CD4_T_cells,GSE103844
SRX375715,CD4_T_cells,CD4_T_cells,GSE52260
SRX2370308,Tregs,CD4_T_cells,GSE90468
SRX1571024,NK_cells,NK_cells,GSE77808
SRX2193269,NK_cells,NK_cells,GSE87392
SRX3058221,,Granulocytes,GSE102215
SRX4044507,CD4_T_cells,CD4_T_cells,GSE114065
SRX3185053,CD4_T_cells,CD4_T_cells,GSE103844
SRX3678132,CD4_T_cells,CD4_T_cells,GSE110417
ERX211579,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX3263416,CD4_T_cells,CD4_T_cells,GSE104744
SRX1262119,CD4_T_cells,CD4_T_cells,GSE73213
SRX2585766,CD4_T_cells,CD4_T_cells,GSE95297
ERX211481,Myeloid_cells,Myeloid_cells,E-SYBR-2
SRX6727416,,Monocytes,GSE135902
SRX1601437,CD8_T_cells,CD8_T_cells,GSE78522
SRX5019110,gd_T_Cells,T_cells,GSE122624
SRX2370311,CD4_T_cells,CD4_T_cells,GSE90468
SRX4518785,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX4044568,CD4_T_cells,CD4_T_cells,GSE114065
SRX6680442,,CD8_T_cells,GSE135582
SRX4203030,Monocytes,Monocytes,GSE115736
SRX5236166,T_cells,T_cells,GSE124876
SRX4797278,Myeloid_cells,Myeloid_cells,GSE112101
SRX6727429,,Monocytes,GSE135902
SRX3848493,Th1_cells,CD4_T_cells,GSE112341
SRX3184885,CD4_T_cells,CD4_T_cells,GSE103844
SRX6404726,,CD8_T_cells,GSE133822
SRX6404714,,CD8_T_cells,GSE133822
SRX5128320,Neutrophils,Neutrophils,GSE123785
SRX5686063,CD4_T_cells,CD4_T_cells,GSE129829
SRX4978122,CD8_T_cells,CD8_T_cells,GSE122149
SRX2532734,CD4_T_cells,CD4_T_cells,GSE94396
SRX5162176,Monocytes,Monocytes,GSE124073
SRX5162211,Monocytes,Monocytes,GSE124073
ERX2283330,,CD8_T_cells,E-MTAB-6370
SRX7051973,,CD4_T_cells,GSE139341
SRX1433441,Monocytes,Monocytes,GSE75042
SRX5162172,Monocytes,Monocytes,GSE124073
SRX3263437,CD4_T_cells,CD4_T_cells,GSE104744
SRX5686049,CD4_T_cells,CD4_T_cells,GSE129829
SRX5686067,CD4_T_cells,CD4_T_cells,GSE129829
SRX3185041,CD4_T_cells,CD4_T_cells,GSE103844
SRX2633219,Tregs,CD4_T_cells,GSE96075
SRX7142028,CD8_T_cells_PD1_high,CD8_T_cells,GSE140430
SRX2585760,CD4_T_cells,CD4_T_cells,GSE95297
SRX1677380,NK_cells,NK_cells,GSE79879
SRX2200766,,CD8_T_cells,GSE87505
SRX6771553,Neutrophils,Neutrophils,GSE136632
SRX682482,CD4_T_cells,CD4_T_cells,GSE60482
SRX5806633,,CD4_T_cells,GSE130882
SRX3932277,CD8_T_cells,CD8_T_cells,GSE113098
SRX5799667,,CD4_T_cells,GSE130793
SRX6404633,,Monocytes,GSE133822
SRX828430,T_cells,T_cells,GSE64655
SRX7052855,,Neutrophils,GSE139358
SRX6727411,,Monocytes,GSE135902
SRX5294216,NK_cells,NK_cells,GSE125686
SRX1837269,Plasma_B_cells,Plasma_B_cells,GSE81443
SRX865110,CD4_T_cells,CD4_T_cells,GSE65621
SRX749883,CD4_T_cells,CD4_T_cells,GSE62920
SRX3361944,Neutrophils,Neutrophils,GSE106520
SRX5128308,Neutrophils,Neutrophils,GSE123785
SRX7052830,,Neutrophils,GSE139358
SRX6404690,,CD4_T_cells,GSE133822
SRX680672,CD8_T_cells,CD8_T_cells,GSE60424
SRX2200791,,CD8_T_cells,GSE87505
SRX2532727,CD4_T_cells,CD4_T_cells,GSE94396
SRX680607,Neutrophils,Neutrophils,GSE60424
SRX1092549,Non_plasma_B_cells,B_cells,GSE70830
SRX7052848,,Neutrophils,GSE139358
SRX1571007,NK_cells,NK_cells,GSE77808
SRX5444142,,CD4_T_cells,GSE127457
SRX3889779,,B_cells,GSE103057
SRX5162237,Monocytes,Monocytes,GSE124073
SRX4797289,Neutrophils,Neutrophils,GSE112101
SRX2202513,,T_cells,GSE87517
SRX7142042,CD8_T_cells,CD8_T_cells,GSE140430
SRX3680689,T_helpers,CD4_T_cells,GSE110469
SRX2875326,CD8_T_cells_PD1_high,CD8_T_cells,GSE99531
SRX4453814,NK_cells,NK_cells,GSE117614
SRX2458660,,CD8_T_cells,GSE83637
SRX4044586,CD4_T_cells,CD4_T_cells,GSE114065
SRX6404691,,CD4_T_cells,GSE133822
SRX2271045,,CD4_T_cells,GSE89225
SRX3185044,CD4_T_cells,CD4_T_cells,GSE103844
SRX1634959,,PDC,GSE79272
SRX4456874,CD4_T_cells,CD4_T_cells,GSE117655
SRX2633229,Tregs,CD4_T_cells,GSE96075
SRX680673,NK_cells,NK_cells,GSE60424
SRX3184982,CD4_T_cells,CD4_T_cells,GSE103844
SRX4416648,Tregs,CD4_T_cells,GSE117481
SRX6404748,,Monocytes,GSE133822
SRX6404692,,CD4_T_cells,GSE133822
SRX3630223,CD8_T_cells,CD8_T_cells,GSE109841
SRX3184918,CD4_T_cells,CD4_T_cells,GSE103844
SRX1897611,,Non_switched_memory_B_cells,GSE84022
SRX2741672,CD4_T_cells,CD4_T_cells,GSE97861
SRX2458666,,CD8_T_cells,GSE83637
SRX3361961,Neutrophils,Neutrophils,GSE106520
SRX5656675,,CD4_T_cells,GSE129522
SRX2558455,T_helpers,CD4_T_cells,GSE94859
SRX6680444,,CD8_T_cells,GSE135582
SRX3184992,CD4_T_cells,CD4_T_cells,GSE103844
SRX375683,CD4_T_cells,CD4_T_cells,GSE52260
SRX4603404,T_helpers,CD4_T_cells,GSE118974
SRX680574,Monocytes,Monocytes,GSE60424
SRX3184895,CD4_T_cells,CD4_T_cells,GSE103844
SRX3399239,,PDC,GSE107011
SRX3058215,,Granulocytes,GSE102215
SRX5282950,,CD4_T_cells,GSE125504
SRX3185000,CD4_T_cells,CD4_T_cells,GSE103844
SRX865106,CD4_T_cells,CD4_T_cells,GSE65621
SRX6369363,,NK_cells,GSE133383
SRX2370303,CD4_T_cells,CD4_T_cells,GSE90468
SRX1802843,CD8_T_cells,CD8_T_cells,GSE81975
SRX4456903,CD4_T_cells,CD4_T_cells,GSE117655
SRX680582,Non_plasma_B_cells,Non_plasma_B_cells,GSE60424
SRX4495353,Monocytes,Monocytes,GSE117970
SRX5294180,NK_cells,NK_cells,GSE125686
SRX4797276,Myeloid_cells,Myeloid_cells,GSE112101
